assets\text_templates\img_0.png	Bulbasaur
assets\text_templates\img_1.png	Ivysaur
assets\text_templates\img_2.png	Venusaur
assets\text_templates\img_3.png	Charmander
assets\text_templates\img_4.png	Charmeleon
assets\text_templates\img_5.png	Charizard
assets\text_templates\img_6.png	Squirtle
assets\text_templates\img_7.png	Wartortle
assets\text_templates\img_8.png	Blastoise
assets\text_templates\img_9.png	Caterpie
assets\text_templates\img_10.png	Metapod
assets\text_templates\img_11.png	Butterfree
assets\text_templates\img_12.png	Weedle
assets\text_templates\img_13.png	Kakuna
assets\text_templates\img_14.png	Beedrill
assets\text_templates\img_15.png	Pidgey
assets\text_templates\img_16.png	Pidgeotto
assets\text_templates\img_17.png	Pidgeot
assets\text_templates\img_18.png	Rattata
assets\text_templates\img_19.png	Raticate
assets\text_templates\img_20.png	Spearow
assets\text_templates\img_21.png	Fearow
assets\text_templates\img_22.png	Ekans
assets\text_templates\img_23.png	Arbok
assets\text_templates\img_24.png	Pikachu
assets\text_templates\img_25.png	Raichu
assets\text_templates\img_26.png	Sandshrew
assets\text_templates\img_27.png	Sandslash
assets\text_templates\img_28.png	Nidoranf
assets\text_templates\img_29.png	Nidorina
assets\text_templates\img_30.png	Nidoqueen
assets\text_templates\img_31.png	Nidoranm
assets\text_templates\img_32.png	Nidorino
assets\text_templates\img_33.png	Nidoking
assets\text_templates\img_34.png	Clefairy
assets\text_templates\img_35.png	Clefable
assets\text_templates\img_36.png	Vulpix
assets\text_templates\img_37.png	Ninetales
assets\text_templates\img_38.png	Jigglypuff
assets\text_templates\img_39.png	Wigglytuff
assets\text_templates\img_40.png	Zubat
assets\text_templates\img_41.png	Golbat
assets\text_templates\img_42.png	Oddish
assets\text_templates\img_43.png	Gloom
assets\text_templates\img_44.png	Vileplume
assets\text_templates\img_45.png	Paras
assets\text_templates\img_46.png	Parasect
assets\text_templates\img_47.png	Venonat
assets\text_templates\img_48.png	Venomoth
assets\text_templates\img_49.png	Diglett
assets\text_templates\img_50.png	Dugtrio
assets\text_templates\img_51.png	Meowth
assets\text_templates\img_52.png	Persian
assets\text_templates\img_53.png	Psyduck
assets\text_templates\img_54.png	Golduck
assets\text_templates\img_55.png	Mankey
assets\text_templates\img_56.png	Primeape
assets\text_templates\img_57.png	Growlithe
assets\text_templates\img_58.png	Arcanine
assets\text_templates\img_59.png	Poliwag
assets\text_templates\img_60.png	Poliwhirl
assets\text_templates\img_61.png	Poliwrath
assets\text_templates\img_62.png	Abra
assets\text_templates\img_63.png	Kadabra
assets\text_templates\img_64.png	Alakazam
assets\text_templates\img_65.png	Machop
assets\text_templates\img_66.png	Machoke
assets\text_templates\img_67.png	Machamp
assets\text_templates\img_68.png	Bellsprout
assets\text_templates\img_69.png	Weepinbell
assets\text_templates\img_70.png	Victreebel
assets\text_templates\img_71.png	Tentacool
assets\text_templates\img_72.png	Tentacruel
assets\text_templates\img_73.png	Geodude
assets\text_templates\img_74.png	Graveler
assets\text_templates\img_75.png	Golem
assets\text_templates\img_76.png	Ponyta
assets\text_templates\img_77.png	Rapidash
assets\text_templates\img_78.png	Slowpoke
assets\text_templates\img_79.png	Slowbro
assets\text_templates\img_80.png	Magnemite
assets\text_templates\img_81.png	Magneton
assets\text_templates\img_82.png	Farfetch'd
assets\text_templates\img_83.png	Doduo
assets\text_templates\img_84.png	Dodrio
assets\text_templates\img_85.png	Seel
assets\text_templates\img_86.png	Dewgong
assets\text_templates\img_87.png	Grimer
assets\text_templates\img_88.png	Muk
assets\text_templates\img_89.png	Shellder
assets\text_templates\img_90.png	Cloyster
assets\text_templates\img_91.png	Gastly
assets\text_templates\img_92.png	Haunter
assets\text_templates\img_93.png	Gengar
assets\text_templates\img_94.png	Onix
